"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","997","Complete a valid checkout end-to-end","Chromium","Fri May 15 07:35:58 UTC 2026","passed","Fri May 15 07:35:59 UTC 2026","","testCaseId8.spec.js","",""
"","968","Sort by Name (Z to A)","Firefox","Fri May 15 07:36:05 UTC 2026","passed","Fri May 15 07:36:06 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","5663","Login fails with invalid password","WebKit","Fri May 15 07:36:17 UTC 2026","passed","Fri May 15 07:36:23 UTC 2026","","testCaseId2.spec.js","",""
"","2367","Logout returns the user to the login page with empty inputs","WebKit","Fri May 15 07:36:23 UTC 2026","passed","Fri May 15 07:36:25 UTC 2026","","testCaseId4.spec.js","",""
"","530","Login fails with invalid username","Firefox","Fri May 15 07:36:03 UTC 2026","passed","Fri May 15 07:36:03 UTC 2026","","testCaseId3.spec.js","",""
"","670","Sort by Price (low to high)","Chromium","Fri May 15 07:35:58 UTC 2026","passed","Fri May 15 07:35:58 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","1411","Footer social links have correct hrefs and open in a new tab","WebKit","Fri May 15 07:36:27 UTC 2026","passed","Fri May 15 07:36:28 UTC 2026","","testCaseId7.spec.js","",""
"","6133","Checkout from an empty cart should be blocked (known bug)","Firefox","Fri May 15 07:36:10 UTC 2026","passed","Fri May 15 07:36:16 UTC 2026","","testCaseId9.spec.js","",""
"","3411","Login fails with invalid password","Chromium","Fri May 15 07:35:51 UTC 2026","passed","Fri May 15 07:35:55 UTC 2026","","testCaseId2.spec.js","",""
"","1521","Logout returns the user to the login page with empty inputs","Chromium","Fri May 15 07:35:55 UTC 2026","passed","Fri May 15 07:35:57 UTC 2026","","testCaseId4.spec.js","",""
"","2316","Valid login redirects to the inventory page","Firefox","Fri May 15 07:36:00 UTC 2026","passed","Fri May 15 07:36:02 UTC 2026","","testCaseId1.spec.js","",""
"","4732","Cart contents persist across logout and re-login","Firefox","Fri May 15 07:36:05 UTC 2026","passed","Fri May 15 07:36:10 UTC 2026","","testCaseId5.spec.js","",""
"","1488","Complete a valid checkout end-to-end","Firefox","Fri May 15 07:36:10 UTC 2026","passed","Fri May 15 07:36:11 UTC 2026","","testCaseId8.spec.js","",""
"","594","Login fails with invalid password","Firefox","Fri May 15 07:36:02 UTC 2026","passed","Fri May 15 07:36:03 UTC 2026","","testCaseId2.spec.js","",""
"","536","Login fails with invalid username","Chromium","Fri May 15 07:35:55 UTC 2026","passed","Fri May 15 07:35:55 UTC 2026","","testCaseId3.spec.js","",""
"","1638","Sort by Price (low to high)","WebKit","Fri May 15 07:36:28 UTC 2026","passed","Fri May 15 07:36:30 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","5589","Checkout from an empty cart should be blocked (known bug)","Chromium","Fri May 15 07:35:59 UTC 2026","passed","Fri May 15 07:36:04 UTC 2026","","testCaseId9.spec.js","",""
"","625","Sort by Price (high to low)","Chromium","Fri May 15 07:35:58 UTC 2026","passed","Fri May 15 07:35:59 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","619","Footer social links have correct hrefs and open in a new tab","Chromium","Fri May 15 07:35:57 UTC 2026","passed","Fri May 15 07:35:58 UTC 2026","","testCaseId7.spec.js","",""
"","1415","Sort by Price (high to low)","WebKit","Fri May 15 07:36:30 UTC 2026","passed","Fri May 15 07:36:31 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","1222","Footer social links have correct hrefs and open in a new tab","Firefox","Fri May 15 07:36:09 UTC 2026","passed","Fri May 15 07:36:10 UTC 2026","","testCaseId7.spec.js","",""
"","1691","Cart contents persist across logout and re-login","Chromium","Fri May 15 07:35:55 UTC 2026","passed","Fri May 15 07:35:57 UTC 2026","","testCaseId5.spec.js","",""
"","2843","Cart contents persist across logout and re-login","WebKit","Fri May 15 07:36:24 UTC 2026","passed","Fri May 15 07:36:27 UTC 2026","","testCaseId5.spec.js","",""
"","3525","Valid login redirects to the inventory page","Chromium","Fri May 15 07:35:51 UTC 2026","passed","Fri May 15 07:35:55 UTC 2026","","testCaseId1.spec.js","",""
"","2082","Complete a valid checkout end-to-end","WebKit","Fri May 15 07:36:28 UTC 2026","passed","Fri May 15 07:36:30 UTC 2026","","testCaseId8.spec.js","",""
"","1191","Login fails with invalid username","WebKit","Fri May 15 07:36:23 UTC 2026","passed","Fri May 15 07:36:24 UTC 2026","","testCaseId3.spec.js","",""
"","1025","Sort by Price (high to low)","Firefox","Fri May 15 07:36:08 UTC 2026","passed","Fri May 15 07:36:09 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","1518","Sort by Name (Z to A)","WebKit","Fri May 15 07:36:27 UTC 2026","passed","Fri May 15 07:36:28 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","521","Sort by Name (A to Z)","Chromium","Fri May 15 07:35:57 UTC 2026","passed","Fri May 15 07:35:57 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","1617","Logout returns the user to the login page with empty inputs","Firefox","Fri May 15 07:36:03 UTC 2026","passed","Fri May 15 07:36:05 UTC 2026","","testCaseId4.spec.js","",""
"","10891","Valid login redirects to the inventory page","WebKit","Fri May 15 07:36:12 UTC 2026","passed","Fri May 15 07:36:23 UTC 2026","","testCaseId1.spec.js","",""
"","811","Sort by Name (A to Z)","Firefox","Fri May 15 07:36:05 UTC 2026","passed","Fri May 15 07:36:05 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","1543","Sort by Name (A to Z)","WebKit","Fri May 15 07:36:25 UTC 2026","passed","Fri May 15 07:36:27 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","1095","Sort by Price (low to high)","Firefox","Fri May 15 07:36:06 UTC 2026","passed","Fri May 15 07:36:08 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","641","Sort by Name (Z to A)","Chromium","Fri May 15 07:35:57 UTC 2026","passed","Fri May 15 07:35:58 UTC 2026","Inventory sorting","testCaseId6.spec.js","",""
"","6647","Checkout from an empty cart should be blocked (known bug)","WebKit","Fri May 15 07:36:30 UTC 2026","passed","Fri May 15 07:36:37 UTC 2026","","testCaseId9.spec.js","",""
