"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5482","Test Footer Links","Firefox","Sun Mar 09 16:45:35 EET 2025","passed","Sun Mar 09 16:45:40 EET 2025","","testCaseId7.spec.js","",""
"","4830","Test Footer Links","WebKit","Sun Mar 09 16:45:48 EET 2025","passed","Sun Mar 09 16:45:53 EET 2025","","testCaseId7.spec.js","",""
"","636","Test login with invalid login","WebKit","Sun Mar 09 16:45:43 EET 2025","passed","Sun Mar 09 16:45:43 EET 2025","","testCaseId3.spec.js","",""
"","4309","Test Footer Links","Chromium","Sun Mar 09 16:45:22 EET 2025","passed","Sun Mar 09 16:45:26 EET 2025","","testCaseId7.spec.js","",""
"","634","Test login with invalid password","WebKit","Sun Mar 09 16:45:42 EET 2025","passed","Sun Mar 09 16:45:43 EET 2025","","testCaseId2.spec.js","",""
"","2066","Test Logout","Chromium","Sun Mar 09 16:45:19 EET 2025","passed","Sun Mar 09 16:45:22 EET 2025","","testCaseId4.spec.js","",""
"","2189","Test Logout","WebKit","Sun Mar 09 16:45:43 EET 2025","passed","Sun Mar 09 16:45:45 EET 2025","","testCaseId4.spec.js","",""
"","802","Test Sorting 'Name (Z to A)'","Firefox","Sun Mar 09 16:45:33 EET 2025","passed","Sun Mar 09 16:45:34 EET 2025","","testCaseId6.spec.js","",""
"","618","Test login with invalid login","Firefox","Sun Mar 09 16:45:29 EET 2025","passed","Sun Mar 09 16:45:30 EET 2025","","testCaseId3.spec.js","",""
"","2618","Test Checkout without products","Firefox","Sun Mar 09 16:45:45 EET 2025","failed","Sun Mar 09 16:45:48 EET 2025","","testCaseId9.spec.js","",""
"","1944","Test Sorting  'Name (A to Z)'","WebKit","Sun Mar 09 16:45:48 EET 2025","passed","Sun Mar 09 16:45:50 EET 2025","","testCaseId6.spec.js","",""
"","568","Test Sorting 'Name (Z to A)'","Chromium","Sun Mar 09 16:45:23 EET 2025","passed","Sun Mar 09 16:45:23 EET 2025","","testCaseId6.spec.js","",""
"","1080","Test Sorting 'Price (high to low)'","WebKit","Sun Mar 09 16:45:52 EET 2025","passed","Sun Mar 09 16:45:53 EET 2025","","testCaseId6.spec.js","",""
"","2781","Test Saving the card after logout","WebKit","Sun Mar 09 16:45:45 EET 2025","passed","Sun Mar 09 16:45:48 EET 2025","","testCaseId5.spec.js","",""
"","1422","Test Sorting  'Name (A to Z)'","Firefox","Sun Mar 09 16:45:32 EET 2025","passed","Sun Mar 09 16:45:33 EET 2025","","testCaseId6.spec.js","",""
"","1003","Test Sorting 'Price (low to high)'","Firefox","Sun Mar 09 16:45:34 EET 2025","passed","Sun Mar 09 16:45:35 EET 2025","","testCaseId6.spec.js","",""
"","589","Test login with invalid login","Chromium","Sun Mar 09 16:45:19 EET 2025","passed","Sun Mar 09 16:45:20 EET 2025","","testCaseId3.spec.js","",""
"","937","Test login with invalid password","Chromium","Sun Mar 09 16:45:19 EET 2025","passed","Sun Mar 09 16:45:19 EET 2025","","testCaseId2.spec.js","",""
"","935","Test Valid Login","Chromium","Sun Mar 09 16:45:19 EET 2025","passed","Sun Mar 09 16:45:19 EET 2025","","testCaseId1.spec.js","",""
"","2149","Test Saving the card after logout","Chromium","Sun Mar 09 16:45:20 EET 2025","passed","Sun Mar 09 16:45:22 EET 2025","","testCaseId5.spec.js","",""
"","1164","Test Sorting  'Name (A to Z)'","Chromium","Sun Mar 09 16:45:22 EET 2025","passed","Sun Mar 09 16:45:23 EET 2025","","testCaseId6.spec.js","",""
"","1789","Test Valid Checkout","Firefox","Sun Mar 09 16:45:36 EET 2025","passed","Sun Mar 09 16:45:38 EET 2025","","testCaseId8.spec.js","",""
"","920","Test Sorting 'Price (low to high)'","WebKit","Sun Mar 09 16:45:51 EET 2025","passed","Sun Mar 09 16:45:52 EET 2025","","testCaseId6.spec.js","",""
"","828","Test Sorting 'Price (high to low)'","Firefox","Sun Mar 09 16:45:35 EET 2025","passed","Sun Mar 09 16:45:36 EET 2025","","testCaseId6.spec.js","",""
"","993","Test Sorting 'Name (Z to A)'","WebKit","Sun Mar 09 16:45:50 EET 2025","passed","Sun Mar 09 16:45:51 EET 2025","","testCaseId6.spec.js","",""
"","1448","Test Valid Checkout","Chromium","Sun Mar 09 16:45:24 EET 2025","passed","Sun Mar 09 16:45:26 EET 2025","","testCaseId8.spec.js","",""
"","998","Test Valid Login","WebKit","Sun Mar 09 16:45:41 EET 2025","passed","Sun Mar 09 16:45:42 EET 2025","","testCaseId1.spec.js","",""
"","1468","Test Valid Login","Firefox","Sun Mar 09 16:45:27 EET 2025","passed","Sun Mar 09 16:45:28 EET 2025","","testCaseId1.spec.js","",""
"","627","Test login with invalid password","Firefox","Sun Mar 09 16:45:28 EET 2025","passed","Sun Mar 09 16:45:29 EET 2025","","testCaseId2.spec.js","",""
"","3198","Test Saving the card after logout","Firefox","Sun Mar 09 16:45:31 EET 2025","passed","Sun Mar 09 16:45:35 EET 2025","","testCaseId5.spec.js","",""
"","551","Test Sorting 'Price (high to low)'","Chromium","Sun Mar 09 16:45:24 EET 2025","passed","Sun Mar 09 16:45:24 EET 2025","","testCaseId6.spec.js","",""
"","1392","Test Checkout without products","Chromium","Sun Mar 09 16:45:30 EET 2025","failed","Sun Mar 09 16:45:31 EET 2025","","testCaseId9.spec.js","",""
"","3251","Test Valid Checkout","WebKit","Sun Mar 09 16:45:53 EET 2025","passed","Sun Mar 09 16:45:56 EET 2025","","testCaseId8.spec.js","",""
"","573","Test Sorting 'Price (low to high)'","Chromium","Sun Mar 09 16:45:23 EET 2025","passed","Sun Mar 09 16:45:24 EET 2025","","testCaseId6.spec.js","",""
"","2205","Test Logout","Firefox","Sun Mar 09 16:45:30 EET 2025","passed","Sun Mar 09 16:45:32 EET 2025","","testCaseId4.spec.js","",""
"","2028","Test Checkout without products","WebKit","Sun Mar 09 16:45:58 EET 2025","failed","Sun Mar 09 16:46:00 EET 2025","","testCaseId9.spec.js","",""
