"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 10 17:48:46 GMT 2025","Mon Mar 10 17:48:47 GMT 2025","979","WebKit","testCaseId2.spec.js","","","","Test login with invalid password",""
"passed","Mon Mar 10 17:48:23 GMT 2025","Mon Mar 10 17:48:23 GMT 2025","785","Firefox","testCaseId2.spec.js","","","","Test login with invalid password",""
"passed","Mon Mar 10 17:48:32 GMT 2025","Mon Mar 10 17:48:34 GMT 2025","1337","Firefox","testCaseId6.spec.js","","","","Test Sorting 'Name (Z to A)'",""
"passed","Mon Mar 10 17:48:56 GMT 2025","Mon Mar 10 17:49:05 GMT 2025","9354","WebKit","testCaseId7.spec.js","","","","Test Footer Links",""
"passed","Mon Mar 10 17:48:47 GMT 2025","Mon Mar 10 17:48:48 GMT 2025","698","WebKit","testCaseId3.spec.js","","","","Test login with invalid login",""
"passed","Mon Mar 10 17:48:23 GMT 2025","Mon Mar 10 17:48:24 GMT 2025","829","Firefox","testCaseId3.spec.js","","","","Test login with invalid login",""
"passed","Mon Mar 10 17:48:11 GMT 2025","Mon Mar 10 17:48:13 GMT 2025","2404","Chromium","testCaseId4.spec.js","","","","Test Logout",""
"passed","Mon Mar 10 17:48:59 GMT 2025","Mon Mar 10 17:49:04 GMT 2025","4782","WebKit","testCaseId8.spec.js","","","","Test Valid Checkout",""
"passed","Mon Mar 10 17:48:36 GMT 2025","Mon Mar 10 17:48:44 GMT 2025","7535","Firefox","testCaseId7.spec.js","","","","Test Footer Links",""
"passed","Mon Mar 10 17:48:10 GMT 2025","Mon Mar 10 17:48:11 GMT 2025","565","Chromium","testCaseId2.spec.js","","","","Test login with invalid password",""
"passed","Mon Mar 10 17:48:17 GMT 2025","Mon Mar 10 17:48:17 GMT 2025","413","Chromium","testCaseId6.spec.js","","","","Test Sorting 'Name (Z to A)'",""
"failed","Mon Mar 10 17:48:51 GMT 2025","Mon Mar 10 17:48:53 GMT 2025","1789","WebKit","testCaseId11.spec.js","","","","Test Checkout without products",""
"passed","Mon Mar 10 17:48:57 GMT 2025","Mon Mar 10 17:48:58 GMT 2025","1088","WebKit","testCaseId6.spec.js","","","","Test Sorting 'Price (low to high)'",""
"passed","Mon Mar 10 17:48:43 GMT 2025","Mon Mar 10 17:48:46 GMT 2025","3742","WebKit","testCaseId1.spec.js","","","","Test Valid Login",""
"passed","Mon Mar 10 17:48:16 GMT 2025","Mon Mar 10 17:48:17 GMT 2025","1144","Chromium","testCaseId6.spec.js","","","","Test Sorting  'Name (A to Z)'",""
"passed","Mon Mar 10 17:48:09 GMT 2025","Mon Mar 10 17:48:10 GMT 2025","1001","Chromium","testCaseId1.spec.js","","","","Test Valid Login",""
"passed","Mon Mar 10 17:48:58 GMT 2025","Mon Mar 10 17:48:59 GMT 2025","1147","WebKit","testCaseId6.spec.js","","","","Test Sorting 'Price (high to low)'",""
"failed","Sun Mar 09 14:45:30 GMT 2025","Sun Mar 09 14:45:31 GMT 2025","1392","Chromium","testCaseId9.spec.js","","","","Test Checkout without products",""
"passed","Mon Mar 10 17:48:56 GMT 2025","Mon Mar 10 17:48:57 GMT 2025","983","WebKit","testCaseId6.spec.js","","","","Test Sorting 'Name (Z to A)'",""
"passed","Mon Mar 10 17:48:24 GMT 2025","Mon Mar 10 17:48:27 GMT 2025","2860","Firefox","testCaseId4.spec.js","","","","Test Logout",""
"failed","Mon Mar 10 17:48:32 GMT 2025","Mon Mar 10 17:48:37 GMT 2025","4306","Firefox","testCaseId11.spec.js","","","","Test Checkout without products",""
"passed","Mon Mar 10 17:48:48 GMT 2025","Mon Mar 10 17:48:51 GMT 2025","2859","WebKit","testCaseId4.spec.js","","","","Test Logout",""
"passed","Mon Mar 10 17:48:18 GMT 2025","Mon Mar 10 17:48:18 GMT 2025","475","Chromium","testCaseId6.spec.js","","","","Test Sorting 'Price (high to low)'",""
"passed","Mon Mar 10 17:48:17 GMT 2025","Mon Mar 10 17:48:18 GMT 2025","419","Chromium","testCaseId6.spec.js","","","","Test Sorting 'Price (low to high)'",""
"passed","Mon Mar 10 17:48:14 GMT 2025","Mon Mar 10 17:48:16 GMT 2025","2596","Chromium","testCaseId5.spec.js","","","","Test Saving the card after logout",""
